pk_id,member_type,member_name,publisher_name,publisher_email,address1,address2,city,state,zipcode,calc_county,c_sum_circ,circulation_day,mcn_classified_email,two_by_two_ad_contact_email,run_two_by_two_ads,general_manager,general_manager_email,member_phone,member_status,parent_company,display_ad_email,deadline,coupons,open_rate,color_rate_inch,color_rate_min
110,Non Member Publication,Ad-Express - Ottumwa Courier,Ron Gutierrez,rgutierrez@cnhi.com,213 East Second Street,,Ottumwa,IA,52501,Wapello,12114 ,Wednesday,sselix@dailyiowegian.com,akroeger@dailyiowegian.com,Yes,,,(641) 684-4611,Cancelled,CNHI,iowegiangraphics@mchsi.com,Friday 5P,,8.6,9.25,
1255,Non Member Publication,AdVenture,Alex Hage,alex@dch.com,"4009 W 49th St, Ste 105",,Sioux Falls,SD,57106,Minnehaha,9200 ,Wednesday,production@autoconx.com,ads@adventure-online.com,Yes,Lloyd Uthe,lloyd@adventurelistings.com,(605)231-4243,No Longer in Business,Digital Community Holdings,ads@adventure-online.com,Friday 5P,,10,0,
500,Member Publication,Advertiser - Osceola,GM Craig Mittag,cmittag@crestonnews.com,111 E. Washington Street,,Osceola,IA,50213-0362,Clarke,10181 ,Tuesday,advertising@crestonnews.com,"ebuesch@osceolaiowa.com,ccpads@osceolaiowa.com",Yes,,,(641) 342-6006,Combined,Clarke County Publishing,advertising@crestonnews.com,Thursday 12P,,7.25,150,
610,Non Member Publication,Advertising Guide - Storm Lake,Art Cullen,times@stormlake.com,527 Cayuga St.,,Storm Lake,IA,50588,Buena Vista,15800 ,Tuesday,tim@stormlake.com,tim@stormlake.com,Yes,,,(712) 732-3130,Out of Business,Storm Lake Times Pilot,tim@stormlake.com,Thursday 2P,,10.69,150,
1090,Member Publication,Advisor - Albion,Julie Hermsen,jhermsen@norfolkareashopper.com,404 Norfolk Ave,PO Box 1266,Norfolk,NE,68702,Madison,17935 ,Tuesday,classifieds@norfolkareashopper.com,ads@norfolkareashopper.com,Yes,Julie Hermsen,jhermsen@norfolkareashopper.com,402-379-4100,Paid,Northeast Shoppers Inc,debcon@frontiernet.net,Thursday 12P,2,12.3,275,
180,Non Member Publication,AdVisor - Denison,Greg Wehle,greg.wehle@bulletinreview.com,1410 Broadway,PO Box 550,Denison,IA,51442,Crawford,10501 ,Wednesday,ads@bulletinreview.com,ads@bulletinreview.com,Yes,,,(712) 263-2122,No Longer in Business,Lee Enterprises,ads@bulletinreview.com,Friday 5P,,8.25,1,
490,Member Publication,Ad-Visor - Orange City,Dale Pluim,pluimpub@gmail.com,113 Central Ave. SE,,Orange City,IA,51041,Sioux,9722 ,Wednesday,,,,,,(712) 737-4266,Paid,Pluim Publishing Inc,luke@pluimpublishinginc.com,Monday 12P,,8.75,8.75,
1240,Non Member Publication,ADvisor Advantage- Mitchell,Noel Hamiel,,120 South Lawler St,,Mitchell,SD,57301,Davison,17705 ,Wednesday,dailyclass@mitchellrepublic.com,dailyclass@mitchellrepublic.com,,,,(605) 996-5514,Cancelled,Forum Communications Company,,Friday 12P,,9,275,
10,Member Publication,Algona Reminder,Brad Hicks,publisher@algona.com,14 E Nebraska St,,Algona,IA,50511,Kossuth,11730 ,Tuesday,ads@algona.com,ads@algona.com,Yes,Nancy Steburg,nsteburg@algona.com,(515) 295-3535,Paid,"Enterprise Media Inc., Charles City",ads@algona.com,Thursday 12P,2,13.9,225,
1174,Member Publication,Approved Marketing Solutions,Kathy Napora,omaha@amclassifieds.com,11218 John Galt Blvd #203,,Omaha,NE,68137,Douglas,40603 ,Thursday,omaha@amclassifieds.com,omaha@amclassifieds.com,,,,(402) 342-4426,Paid,Kathy Napora,omaha@amclassifieds.com,Monday 6P,2,11,,
